CINEMA L ALBA 1,2,232,2B096     
EDEN CINEMA,2,386,58086
LE CLUB,1,227,38130
SALLE MARCEL PAGNOL,1,0,83046
MALINE,1,278,17121
ESPACE JEAN VILAR,1,314,59155
SALLE DES FETES,1,0,60164
HEMISPHERE THEATER 1,4,568,77131
CAMILLE ST SAENS(EX-ESP CARP,1,360,92026
ABEL GANCE,1,139,92026
L'ETOILE,1,195,93027
GERGOVIE 1,3,476,63124
REX,1,124,63125
LE TRAVELLING,1,292,62250
CINEMA DE LA GARE,1,240,14191
LE MARCHOIS,1,104,23067
LONG COURT 01,2,314,50147
LA TURBINE,1,183,74093
ESPACE CULTUREL EOLE,1,353,69069
HENRI GEORGES CLOUZOT,1,222,79048
LE CYRANO,1,270,80222
LA FAIENCERIE,1,749,60175
MAX LINDER,1,189,33140
THEATRE EDEN,3,544,26108
LA LUCARNE MJC,1,92,94028
CINEMA DU PALAIS 1,3,490,94028
MORVAN 1,4,456,71153
LE HUBLOT,1,262,44049
REX,1,175,29042
LE CINE,1,156,7076
LE CIGALON,1,93,84042
LES CARDINAUX,1,151,56052
PATHE DAMMARIE 1,10,2181,77152
LE CLUB 2,1,189,45122
LE FOYER,1,168,70198
SALLE PAULETTE DONZEL,1,250,25193
AQUEDUC,1,271,69072
LE GRAND CLUB 1,8,1284,40088
CASINO DE DEAUVILLE,1,856,14220
LE MORNY,4,777,14220
LA STRADA 1,3,460,12089
LE TOBOGGAN,1,144,69275
CINEAL 1,2,345,58095
HALLE DES CINQ FONTAINES,1,113,90033
LE RABELAIS,1,167,37115
CINE DESVRES (EX-MEDIATHEQUE,1,111,62268
LE PESTEL,1,207,26113
REX 1,4,676,76217
DIEPPE SCENE NATIONALE,1,578,76217
CINE LABOR,1,139,26114
RENCONTRES,1,256,4070
CINE TOILES 1,4,767,4070
MAJESTIC,1,221,71176
OLYMPIA 1,10,1634,21231
DARCY 1,6,1059,21231
ELDORADO 01,3,403,21231
DEVOSGE 1,5,812,21231
VERS LE LARGE 1,5,821,22050
2 ALIZES SALLE LA MOUETTE,2,499,35093
SALLE DU FOYER COMMUNAL,1,250,67098
DRAKKAR,1,290,14225
CINE DOL 1,2,271,35095
TANNEUR 1,6,1046,39198
STUDIO M J C,1,198,39198
ESPACE ERMITAGE,1,282,95199
RENE FALLET,1,130,3102
ESPACE RENAISSANCE,1,274,44052
SALLE DES FETES,1,200,26116
SELECT,1,270,87059
LE TRÈFLE 1 (EX-L'ATALANTE 1),9,1729,67101
HIPPODROME,1,123,59178
MAJESTIC 1,10,2000,59178
LE CLUB,1,256,29046
LE K.1,2,364,29046
JEAN RENOIR,1,166,59179
TIVOLI,1,98,80253
PARTERRE 1,2,227,91200
L'ESPACE,1,208,74105
LE FOYER,1,260,14228
CINEMA LE NORMANDY,1,200,14711
ELDORADO 1,5,852,83050
ESPACE CULTUREL DU PARC,1,329,93029
ORANGERIE 2,3,389,91201
CINE CENTRE 1,9,1544,28134
SALLE DE SPECTACLES HENRI SA,1,310,93030
LE MAUBOURG,1,182,43087
OCINE DUNKERQUE 1 (EX-AMC MARINE 20 SALLE 1),15,3211,59183
STUDIO 43 SALLE CHARLIE CHAP,2,456,59183
SALLE DES FETES,1,200,23075
FOYER RURAL L'OUSTAU PER TOUTES,1,0,30106
CINEMA DE GOURETTE,1,126,64204
FOYER ARMAGNAC EAUZE,1,323,32119
PATHE 1,12,2925,38151
MEGARAMA 1,10,1498,25212
ECULLY CINEMA,1,171,69081
L'ESPLANADE 2,2,269,19073
GRENOUILLE A,1,199,78208
MERCURE 1,5,957,76231
RENE VAUTIER,1,157,66065
LE ROC 1,2,388,5046
CINE SAUZE,1,208,4073
FRANCAIS 1,5,1263,95210
CENTRE DES ARTS,1,320,95210
CINEMA POUR TOUS,1,150,12094
LE MONTCELET,1,222,38155
PALACE 1 (EX-PALACE 1),6,1096,51230
LES PRAIRIALES,1,544,28140
CINES PALACE 1,8,1600,88160
ESPACE CINE 1,1,97,93031
MEGA CGR 1,12,2565,93031
PALACE,1,280,50173
PIERRE FRESNAY,1,400,95219
LE MAJESTIC,1,254,53096
